rank,prev_rank,name,league,off,def,spi
60,55,Burnley,Barclays Premier League,1.7,0.78,67.29
61,62,Young Boys,Swiss Raiffeisen Super League,1.94,0.97,67.22
62,74,1. FC Union Berlin,German Bundesliga,1.76,0.86,66.52
63,69,Sassuolo,Italy Serie A,2.08,1.12,66.5
64,65,Dynamo Kiev,UEFA Champions League,1.94,1.01,66.4
65,63,Stade Rennes,French Ligue 1,1.72,0.83,66.36
66,61,Crystal Palace,Barclays Premier League,1.73,0.84,66.28
67,57,Fiorentina,Italy Serie A,1.87,0.96,66.11
68,66,Celtic,Scottish Premiership,2.11,1.18,65.69
69,73,Newcastle,Barclays Premier League,1.74,0.88,65.52
70,71,River Plate,Argentina Primera Division,1.74,0.88,65.48
71,87,Sporting CP,Portuguese Liga,1.71,0.86,65.39
72,64,Eibar,Spanish Primera Division,1.58,0.76,65.38
73,81,FC Cologne,German Bundesliga,1.84,0.99,64.94
74,92,PSV,Dutch Eredivisie,1.94,1.08,64.7
75,68,Valencia,Spanish Primera Division,1.8,0.97,64.69
76,70,Marseille,French Ligue 1,1.66,0.85,64.62
77,75,Dinamo Zagreb,UEFA Europa League,1.97,1.12,64.3
78,80,Rangers,Scottish Premiership,1.72,0.92,64.22
79,83,VfB Stuttgart,German Bundesliga,1.77,0.96,64.18
80,77,SD Huesca,Spanish Primera Division,1.68,0.89,64.15
81,85,Slavia Prague,UEFA Europa League,1.92,1.09,64.15
82,76,Alavés,Spanish Primera Division,1.61,0.84,63.78
83,78,AFC Bournemouth,English League Championship,1.71,0.93,63.76
84,79,Werder Bremen,German Bundesliga,1.75,0.97,63.64
85,100,Espanyol,Spanish Segunda Division,1.55,0.83,63.15
86,96,São Paulo,Brasileiro Série A,1.53,0.81,63.1
87,84,SC Freiburg,German Bundesliga,1.84,1.07,62.91
88,91,FC Augsburg,German Bundesliga,1.71,0.97,62.81
89,90,Grêmio,Brasileiro Série A,1.59,0.87,62.79
90,89,Udinese,Italy Serie A,1.65,0.93,62.68
91,86,Sampdoria,Italy Serie A,1.78,1.04,62.62
92,88,Braga,Portuguese Liga,1.72,1.0,62.23
93,82,Spartak Moscow,Russian Premier Liga,1.61,0.91,62.18
94,72,Kawasaki Frontale,Japanese J League,1.94,1.19,62.1
95,104,Nice,French Ligue 1,1.65,0.95,61.94
96,94,Guangzhou Evergrande,Chinese Super League,1.87,1.15,61.79
97,106,Brentford,English League Championship,1.66,0.97,61.69
